"","value","date"
"365",300687,"2/12/2005"
"366",376283,"2/12/2011"
"367",453082,"2/13/2010"
"368",247034,"2/13/2016"
"369",325088,"2/14/2004"
"370",600826,"2/14/2009"
"371",278697,"2/14/2015"
"372",384036,"2/15/2003"
"373",310330,"2/15/2014"
"374",197411,"2/15/2020"
"375",363535,"2/16/2002"
"376",326893,"2/16/2008"
"377",307207,"2/16/2013"
"378",201485,"2/16/2019"
"379",353444,"2/17/2001"
"380",296157,"2/17/2007"
"381",194853,"2/17/2018"
"382",269546,"2/18/2006"
"383",330514,"2/18/2012"
"384",210980,"2/18/2017"
"385",255211,"2/19/2000"
"386",287992,"2/19/2005"
"387",349882,"2/19/2011"
"388",433061,"2/2/2002"
"389",373774,"2/2/2008"
"390",356640,"2/2/2013"
"391",240644,"2/2/2019"
"392",469951,"2/20/2010"
"393",263699,"2/20/2016"
"394",338897,"2/21/2004"
"395",641007,"2/21/2009"
"396",313354,"2/21/2015"
"397",425440,"2/22/2003"
"398",315468,"2/22/2014"
"399",215197,"2/22/2020"
"400",380696,"2/23/2002"
"401",341920,"2/23/2008"
"402",331515,"2/23/2013"
"403",218957,"2/23/2019"
"404",375100,"2/24/2001"
"405",316965,"2/24/2007"
"406",224557,"2/24/2018"
"407",298273,"2/25/2006"
"408",365187,"2/25/2012"
"409",241565,"2/25/2017"
"410",278717,"2/26/2000"
"411",328609,"2/26/2005"
"412",403520,"2/26/2011"
"413",457655,"2/27/2010"
"414",245609,"2/27/2016"
"415",335546,"2/28/2004"
"416",647591,"2/28/2009"
"417",275685,"2/28/2015"
"418",390374,"2/3/2001"
"419",359187,"2/3/2007"
"420",231343,"2/3/2018"
"421",306674,"2/4/2006"
"422",360437,"2/4/2012"
"423",243564,"2/4/2017"
"424",307376,"2/5/2000"
"425",305807,"2/5/2005"
"426",419420,"2/5/2011"
"427",476004,"2/6/2010"
"428",256309,"2/6/2016"
"429",338074,"2/7/2004"
"430",614507,"2/7/2009"
"431",275659,"2/7/2015"
"432",393725,"2/8/2003"
"433",320403,"2/8/2014"
"434",207235,"2/8/2020"
"435",371893,"2/9/2002"
"436",322855,"2/9/2008"
"437",347166,"2/9/2013"
"438",209135,"2/9/2019"
"439",410463,"3/1/2003"
