country,region,link
St Vincent and the Grenadines,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_VCT.pdf
Sudan,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_SDN.pdf
Suriname,Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_SUR.pdf
Syrian Arab Republic,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_SYR.pdf
Tanzania,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_TZA.pdf
Thailand,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_THA.pdf
Timor-Leste,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_TLS.pdf
Togo,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_TGO.pdf
Tonga,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_TON.pdf
Tunisia,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_TUN.pdf
Tuvalu,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_TUV.pdf
Uganda,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_UGA.pdf
Vanuatu,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_VUT.pdf
"Venezuela, RB",Latin America and Caribbean,https://www.cgdev.org/sites/default/files/LAC_VEN.pdf
Vietnam,East Asia and Pacific,https://www.cgdev.org/sites/default/files/EAP_VNM.pdf
West Bank and Gaza,Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_PSE.pdf
"Yemen, Rep",Middle East and North Africa,https://www.cgdev.org/sites/default/files/MNA_YEM.pdf
Zambia,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_ZMB.pdf
Zimbabwe,Sub-Saharan Africa,https://www.cgdev.org/sites/default/files/SSA_ZWE.pdf
